log,variant,run,n_kpis,schema_valid_count,schema_valid_rate,smart_complete_count,smart_complete_rate,computable_count,computable_rate,category_coverage,categories_generated,stability,error
bpic2017,full,1,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,quality,time,utilization",0.6,
bpic2017,full,2,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time",0.6,
bpic2017,full,3,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time,utilization",0.6,
bpic2017,full,4,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time",0.6,
bpic2017,full,5,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time",0.6,
bpic2017,no_log,1,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,throughput,time,utilization",0.8,
bpic2017,no_log,2,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,throughput,time,utilization",0.8,
bpic2017,no_log,3,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time,utilization",0.8,
bpic2017,no_log,4,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time,utilization",0.8,
bpic2017,no_log,5,5,5,1.0,5,1.0,5,1.0,1.0,"compliance,quality,throughput,time,utilization",0.8,
bpic2012,full,1,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,throughput,time",0.4,
bpic2012,full,2,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,throughput,time,utilization",0.4,
bpic2012,full,3,5,5,1.0,5,1.0,5,1.0,1.0,"quality,throughput,time,utilization",0.4,
bpic2012,full,4,4,4,1.0,4,1.0,3,0.75,0.6666666666666666,"compliance,throughput,time",0.4,
bpic2012,full,5,4,4,1.0,4,1.0,4,1.0,1.0,"quality,throughput,time",0.4,
bpic2012,no_log,1,4,4,1.0,4,1.0,4,1.0,0.3333333333333333,"compliance,time,utilization",0.5,
bpic2012,no_log,2,4,4,1.0,4,1.0,4,1.0,0.3333333333333333,"compliance,time,utilization",0.5,
bpic2012,no_log,3,4,4,1.0,4,1.0,4,1.0,0.3333333333333333,"compliance,time,utilization",0.5,
bpic2012,no_log,4,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"quality,time,utilization",0.5,
bpic2012,no_log,5,4,4,1.0,4,1.0,4,1.0,0.3333333333333333,"compliance,time,utilization",0.5,
sepsis,full,1,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,time",1.0,
sepsis,full,2,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,time",1.0,
sepsis,full,3,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,time",1.0,
sepsis,full,4,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,time",1.0,
sepsis,full,5,4,4,1.0,4,1.0,4,1.0,0.6666666666666666,"compliance,time",1.0,
sepsis,no_log,1,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,time,utilization",0.6667,
sepsis,no_log,2,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,time",0.6667,
sepsis,no_log,3,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,time",0.6667,
sepsis,no_log,4,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,time",0.6667,
sepsis,no_log,5,5,5,1.0,5,1.0,5,1.0,0.6666666666666666,"compliance,time",0.6667,
