variant,log,schema_valid,attempts,n_iterations,best_iter_score,dhr_mean,dhr_ci_half,mki_mean,mki_ci_half,nis_mean,nis_ci_half,n_kpis,n_kpis_hit,error
V_full,bpic2017,True,8,4,113.665,0.8,0.392,-19.53,27.88,16.91,22.06,5,4,
V_no_rag,bpic2017,True,10,4,88.255,0.6,0.4801,-30.8,42.92,2.37,44.11,5,3,
V_no_chat,bpic2017,True,11,4,69.545,0.8,0.392,-21.64,7.27,13.57,16.79,5,4,
V_no_iter,bpic2017,True,2,1,46.282,0.8,0.392,-13.43,24.84,9.94,20.49,5,4,
V_full,bpic2012,True,5,2,187.45,0.75,0.49,-32.45,29.5,24.09,26.54,4,3,
V_no_rag,bpic2012,True,2,1,142.1,1.0,0.0,-26.36,20.36,26.37,20.34,4,4,
V_no_chat,bpic2012,True,9,4,126.098,1.0,0.0,-35.19,30.58,40.04,21.62,4,4,
V_no_iter,bpic2012,True,2,1,168.9,0.75,0.49,-50.16,12.1,37.17,26.87,4,3,
V_full,sepsis,True,8,4,0.712,0.6667,0.6533,-1.06,0.0,0.58,0.94,3,2,
V_no_rag,sepsis,True,8,4,0.535,1.0,0.0,-1.41,0.86,1.41,0.86,3,3,
V_no_iter,sepsis,True,2,1,-166.697,0.6667,0.6533,-49.96,80.99,16.81,80.05,3,2,
V_no_chat,sepsis,True,10,4,-11.61,0.3333,0.6533,-0.21,0.0,-0.66,0.86,3,1,
